country,continent,edu_spend_gdp_pct,upper_secondary_completion_pct,adolescent_birth_rate,population_millions
Afghanistan,Asia,4.34319019317627,26.6958408355713,62.0,41.454761
Albania,Other,2.74931001663208,60.4131393432617,11.8,2.811655
Algeria,Other,6.29899978637695,46.474048614502,11.0,46.164218999999996
Andorra,Other,2.66622996330261,,0.5,0.080856
Angola,Other,2.33200001716614,18.7457809448242,162.7,36.749906
Anguilla,Other,,,37.2,0.014410000000000001
Antigua and Barbuda,Other,3.64800000190735,88.7220687866211,32.5,0.093316
Argentina,Other,4.6476001739502,64.3,27.8,45.538401
Armenia,Asia,2.49326992034912,77.99,12.8,2.943393
Australia,Other,5.20677661895752,90.31,6.8,26.451124
Austria,Other,4.77447128295898,85.32,4.2,9.130429
Azerbaijan,Asia,2.90400004386902,74.9523468017578,37.3,10.318207000000001
Bahamas,Other,3.08599996566772,,26.4,0.39944
Bahrain,Asia,1.98699998855591,,8.6,1.569666
Bangladesh,Asia,2.05100011825562,29.3627395629883,68.0,171.46698999999998
Barbados,Other,5.12599992752075,94.1884384155273,47.6,0.28233600000000003
Belarus,Other,5.18737077713013,90.3813400268555,11.7,9.115680000000001
Belgium,Other,6.21000003814697,88.11,4.5,11.712893
Belize,Other,5.0019998550415,45.0341987609863,51.2,0.41110599999999997
Benin,Other,3.21099996566772,12.5158996582031,83.8,14.111034
Bhutan,Asia,8.14200019836426,20.9794597625732,10.4,0.786385
Bolivia (Plurinational State of),Other,7.7407398223877,81.87,71.0,12.244159
Bosnia and Herzegovina,Other,,93.0600662231445,9.7,3.185073
Botswana,Other,8.05799961090088,53.923210144043,50.2,2.4802440000000003
Brazil,Other,5.77150011062622,73.53,42.6,211.140729
British Virgin Islands,Other,2.86999988555908,,27.4,0.038985
Brunei Darussalam,Asia,4.42540979385376,,9.0,0.458949
Bulgaria,Other,4.29007482528687,86.97,38.7,6.795803
Burkina Faso,Other,5.27699995040894,16.2026996612549,92.9,23.025776
Burundi,Other,4.82100009918213,7.16315984725952,58.2,13.68945
Cabo Verde,Other,6.03800010681152,55.6475715637207,40.0,0.522331
Cambodia,Asia,1.6710000038147,26.6529903411865,48.0,17.42388
Cameroon,Other,2.61800003051758,22.9787693023682,105.3,28.372687000000003
Canada,Other,4.13957166671753,93.95,4.9,39.299105000000004
Central African Republic,Other,2.11500000953674,5.58253002166748,184.4,5.152421
Chad,Other,2.53900003433228,4.52022981643677,138.4,19.319063999999997
Chile,Other,4.03999996185303,92.75,15.6,19.658835
China,Asia,3.29838752746582,74.9941329956055,6.1,1422.5849329999999
Colombia,Other,3.92000007629395,74.88,47.2,52.321152000000005
Comoros,Other,2.43199992179871,36.8156509399414,74.4,0.8503869999999999
Congo,Other,2.95199990272522,23.0888004302979,111.3,6.182885000000001
Cook Islands,Other,,,28.3,0.014222
Costa Rica,Other,6.28171014785767,77.75,26.3,5.105524999999999
Côte d'Ivoire,Other,3.51972007751465,17.4683399200439,96.0,31.165654
Croatia,Other,5.20045328140259,97.45,6.7,3.896023
Cuba,Other,9.38599967956543,65.2816925048828,47.4,11.019931
Cyprus,Asia,5.48318195343018,88.66,6.4,1.3449760000000002
Czechia,Other,5.05000019073486,,7.2,10.809716
Democratic People's Republic of Korea,Other,,,0.6,26.418204000000003
Democratic Republic of the Congo,Other,3.00300002098083,31.1364994049072,109.0,105.789731
Denmark,Other,5.92999982833862,77.9,1.2,5.948136000000001
Djibouti,Other,3.75143003463745,39.7577209472656,21.0,1.152944
Dominica,Other,4.65700006484985,76.8521575927734,49.8,0.06651
Dominican Republic,Other,3.94000005722046,65.55,77.1,11.331265
Ecuador,Other,3.64703989028931,80.48,51.6,17.980083
